Category,Omni-Shield P,Omni-Shield R,Omni-Shield F1,Presidio P,Presidio R,Presidio F1,Llama 3 8B P,Llama 3 8B R,Llama 3 8B F1
Names,0.6,0.2107,0.3119,0.355,0.24,0.2864,0.96,0.576,0.72
Faces,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Signatures,0.8452,0.8973,0.8704,0.0,0.0,0.0,0.0,0.0,0.0
Phone Numbers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Email Addresses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Date of Birth,0.5078,0.5372,0.5221,0.0,0.0,0.0,0.7852,0.936,0.854
ID Numbers,0.381,0.0548,0.0958,0.2867,0.2733,0.2799,0.7838,0.7733,0.7785
Addresses,0.1129,0.0479,0.0673,0.0,0.0,0.0,0.4206,0.3,0.3502
Org Names,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dates (General),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macro F1,,,0.1867,,,0.0566,,,0.2703
